City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,bogande,12.9714,-0.1436,26.17,14,27,3.65,BF,1738791977
254,pathein,16.7833,94.7333,20.38,78,1,2.93,MM,1738791978
255,mount gambier,-37.8333,140.7667,17.03,81,11,2.68,AU,1738791979
256,kabompo,-13.5927,24.2008,19.0,98,100,1.29,ZM,1738791980
257,enshi,30.3,109.4833,4.86,97,100,0.65,CN,1738791983
258,portland,45.5234,-122.6762,6.36,85,100,6.17,US,1738791767
259,hermanus,-34.4187,19.2345,15.45,57,100,4.99,ZA,1738791985
260,saint-francois,46.4154,3.9054,3.69,94,100,1.03,FR,1738791987
261,harstad,68.799,16.5293,0.64,91,37,3.58,NO,1738791989
262,nadi,-17.8,177.4167,26.0,83,75,4.12,FJ,1738791990
263,nemuro,43.3236,145.575,-0.12,73,10,9.56,JP,1738791951
264,lotoshino,56.2267,35.6414,-1.34,84,100,1.81,RU,1738791992
265,sur,22.5667,59.5289,18.94,56,57,1.74,OM,1738791993
266,mogocha,53.7333,119.7667,-24.52,90,87,2.32,RU,1738791994
267,tura,25.5198,90.2201,15.47,61,0,1.85,IN,1738791996
268,kromy,52.6876,35.7667,-4.74,94,77,2.69,RU,1738791997
269,shingu,33.7333,135.9833,-0.04,63,10,5.34,JP,1738791998
270,fale old settlement,-9.3852,-171.2468,28.45,75,97,7.79,TK,1738791999
271,sabang,5.8933,95.3214,27.53,76,78,5.65,ID,1738792002
272,tabou,4.423,-7.3528,26.9,85,8,3.66,CI,1738792003
273,dudinka,69.4058,86.1778,-21.81,98,99,3.41,RU,1738792004
274,lubango,-14.9172,13.4925,16.56,95,100,0.78,AO,1738792005
275,laguna de perlas,12.3429,-83.6712,25.3,89,1,6.6,NI,1738792006
276,cogan,10.5931,124.0178,24.25,88,100,1.27,PH,1738792007
277,namibe,-15.1961,12.1522,23.31,83,100,2.17,AO,1738792009
278,khandyga,62.6667,135.6,-43.32,100,50,0.44,RU,1738792010
279,kitui,-1.367,38.0106,20.41,53,100,1.64,KE,1738792012
280,coahuayana de hidalgo,18.7,-103.6583,30.27,52,0,2.85,MX,1738792013
281,kavaratti,10.5669,72.642,26.96,73,9,3.77,IN,1738792015
282,papao,-17.75,-149.55,27.31,77,82,5.96,PF,1738792016
283,taoudenni,22.6783,-3.9836,17.47,16,0,6.15,ML,1738792017
284,itoman,26.1247,127.6694,14.01,54,75,2.06,JP,1738792018
285,zhanibek,49.4167,46.85,-3.32,68,50,4.58,KZ,1738792019
286,mercedes,-34.6515,-59.4307,18.97,83,89,6.77,AR,1738792020
287,suva,-18.1416,178.4415,25.71,94,75,2.06,FJ,1738792022
288,uzda,53.4627,27.2137,-2.43,65,97,1.7,BY,1738792023
289,al jubayl,27.0112,49.6583,18.54,49,100,10.2,SA,1738792024
290,mildura,-34.2,142.15,27.97,32,0,1.86,AU,1738792025
291,phan rang-thap cham,11.5667,108.9833,18.06,91,56,2.81,VN,1738792026
292,el sauzal de rodriguez,31.9,-116.6833,17.44,64,16,5.67,MX,1738792027
293,houghton,47.1219,-88.569,-6.29,65,100,2.57,US,1738792030
294,lamu,-2.2717,40.902,24.16,90,100,5.62,KE,1738792031
295,la passe,45.5549,-0.8967,7.75,78,63,5.74,FR,1738792032
296,zarzis,33.504,11.1122,13.68,79,52,4.01,TN,1738792033
297,xiva,41.3783,60.3639,3.07,60,6,4.04,UZ,1738792034
298,bousso,10.4795,16.7117,26.08,15,57,3.51,TD,1738792036
299,bahia blanca,-38.7196,-62.2724,27.98,40,59,4.72,AR,1738792037
300,pulaski,34.7668,-92.3001,11.7,92,100,0.0,US,1738792038
301,mantua,45.1667,10.7833,2.34,86,1,0.7,IT,1738792039
302,sangmelima,2.9333,11.9833,21.9,86,100,1.55,CM,1738792040
303,tamandare,-8.7597,-35.1047,25.9,84,100,4.48,BR,1738792041
304,verkhnyaya sinyachikha,57.976,61.6673,-16.34,100,100,1.31,RU,1738792043
305,isiro,2.7739,27.616,24.14,48,100,0.87,CD,1738792044
306,kosh-agach,50.0,88.6667,-30.94,89,59,0.98,RU,1738792045
307,kourou,5.1552,-52.6478,24.22,95,95,2.62,GF,1738792046
308,sao tome,0.3365,6.7273,27.23,79,100,2.4,ST,1738792047
309,darwin,-12.4611,130.8418,24.99,100,0,1.54,AU,1738792049
310,hurricane,37.1753,-113.2899,19.63,41,9,2.64,US,1738792050
311,avarua,-21.2078,-159.775,29.03,84,100,3.6,CK,1738792052
312,deir ez-zor,35.3359,40.1408,10.5,59,98,1.47,SY,1738792053
313,baiquan,47.5833,126.0833,-27.19,98,85,2.95,CN,1738792054
314,sainte-suzanne,-20.9061,55.6089,27.1,89,75,3.6,RE,1738792056
315,vallenar,-28.5708,-70.7581,27.19,42,0,3.13,CL,1738792057
316,enewetak,11.3474,162.3373,27.01,74,99,7.48,MH,1738792058
317,tindouf,27.6711,-8.1474,17.25,22,0,2.57,DZ,1738792059
318,uturoa,-16.7333,-151.4333,28.03,73,71,5.85,PF,1738792060
319,mersa matruh,31.3525,27.2453,14.11,51,40,9.77,EG,1738792061
320,selebi-phikwe,-21.979,27.8498,25.17,41,0,2.42,BW,1738792063
321,dabakala,8.3667,-4.4333,28.39,16,22,1.58,CI,1738792064
322,ambilobe,-13.2,49.05,23.28,92,100,0.38,MG,1738792065
323,zhelezinka,53.54,75.3072,-17.33,94,5,3.82,KZ,1738792066
324,kamen'-rybolov,44.7481,132.0403,-15.86,65,100,5.55,RU,1738792067
325,burang,30.25,81.1667,-19.06,59,47,3.72,CN,1738792069
326,toliara,-23.35,43.6667,27.01,84,23,1.33,MG,1738792070
327,grand baie,-20.0182,57.5802,26.92,87,3,3.69,MU,1738792071
328,maamba,-17.3667,27.15,22.32,72,59,1.16,ZM,1738792072
329,boden,65.8252,21.6886,-2.72,79,43,3.85,SE,1738792073
330,visby,57.6409,18.296,4.12,93,0,1.54,SE,1738792074
331,port saint john's,-31.6229,29.5448,21.93,92,100,4.58,ZA,1738792076
332,kidal,18.4411,1.4078,24.46,21,100,4.15,ML,1738792077
333,hadibu,12.65,54.0333,21.92,71,9,4.13,YE,1738792078
334,minab,27.1467,57.0801,17.19,60,94,1.16,IR,1738792079
335,fort wellington,6.4,-57.6,25.47,83,100,4.44,GY,1738792080
336,sundargarh,22.1167,84.0333,19.63,45,2,2.92,IN,1738792081
337,antalaha,-14.9003,50.2788,24.6,87,100,1.45,MG,1738792083
338,quang ngai,15.1167,108.8,19.28,87,98,0.86,VN,1738792084
339,usinsk,65.9939,57.5281,-13.61,97,70,4.53,RU,1738792085
340,nova sintra,14.8667,-24.7167,22.4,71,1,8.68,CV,1738792086
341,jayapura,-2.5333,140.7,23.66,92,100,1.38,ID,1738792087
342,lazaro cardenas,17.9583,-102.2,28.59,54,0,4.26,MX,1738792088
343,mount isa,-20.7333,139.5,26.87,78,100,2.57,AU,1738792090
344,usoke,-5.1667,32.35,19.26,90,100,1.6,TZ,1738792091
345,qusmuryn,52.4503,64.6311,-13.17,94,48,3.86,KZ,1738792092
346,natore,24.4165,88.9826,18.19,44,2,1.44,BD,1738792093
347,rio gallegos,-51.6226,-69.2181,20.03,19,20,3.09,AR,1738792094
348,okhotsk,59.3833,143.3,-22.36,67,22,7.13,RU,1738792096
349,riverlea,-37.8065,175.3244,21.61,75,64,1.22,NZ,1738792097
350,flin flon,54.7682,-101.865,-17.09,60,75,3.09,CA,1738792098
351,masterton,-40.9597,175.6575,19.95,46,95,1.11,NZ,1738792099
352,sume,-7.6717,-36.88,22.85,83,100,5.82,BR,1738792100
353,hobyo,5.3505,48.5268,23.72,84,19,8.47,SO,1738792101
354,chapaev,50.2,51.1667,-7.74,88,84,5.04,KZ,1738792103
355,zaozersk,69.4005,32.4476,-6.49,86,97,9.7,RU,1738792104
356,prieska,-29.6641,22.7474,27.15,35,100,5.07,ZA,1738792106
357,roberval,48.5168,-72.2324,-11.65,52,20,4.63,CA,1738792107
358,kenora,49.8167,-94.4337,-12.46,56,100,3.6,CA,1738792109
359,puerto real,36.5282,-6.1901,12.36,71,0,1.03,ES,1738792110
360,yung shue wan,22.2333,114.1167,16.46,63,100,7.42,HK,1738792111
